id,L,W,H,DF,optimal_weight
58,14.5,10.5,7.9,0.87,2.4
59,47.6,30.0,38.5,0.71,110.0
60,30.9,17.6,28.3,0.71,30.7
61,47.7,30.0,30.3,0.83,86.9
62,22.8,17.5,10.9,0.91,8.7
63,30.7,16.2,20.1,0.72,20.0
64,3.3,1.2,2.0,0.94,6.3
65,2.9,1.7,2.6,0.86,9.4
66,17.9,9.0,15.0,0.81,4.9
67,25.9,21.9,16.2,0.79,18.4
68,41.7,15.5,22.7,0.72,29.3
69,25.0,10.5,13.2,0.83,7.0
70,12.4,6.1,12.6,0.88,1.9
71,18.7,8.1,8.4,0.8,2.6
72,15.9,6.4,7.1,0.96,1.4
73,14.5,7.6,10.0,0.83,2.2
74,5.1,6.4,5.1,0.99,0.3
75,12.8,7.3,4.4,0.81,0.8
76,7.2,6.1,3.2,0.92,0.3
77,14.6,7.4,3.8,0.89,0.8
78,11.5,8.0,7.7,0.9,1.4
79,23.8,23.5,10.0,0.74,11.2
80,33.1,21.5,15.0,0.93,21.4
81,37.1,30.0,31.7,0.73,70.4
82,6.2,3.8,3.7,0.73,0.2
83,29.4,14.9,23.1,0.82,20.2
84,14.6,10.6,16.5,1.0,5.1
85,33.7,16.6,36.6,0.82,41.0
86,36.6,11.6,20.8,0.84,17.7
87,4.0,2.6,2.6,0.8,18.4
88,9.7,12.9,9.0,0.97,2.3
89,35.4,29.5,26.5,0.76,55.4
90,13.6,5.0,3.7,0.77,0.5
91,8.8,3.8,4.9,0.93,0.3
92,42.4,21.1,29.9,0.92,53.4
93,21.8,7.8,17.1,0.86,5.8
94,12.8,7.0,3.6,0.97,0.7
95,16.9,18.9,9.7,0.94,6.2
96,40.3,20.9,11.8,1.2,10137.6
97,9.2,7.3,7.7,1.0,1.0
98,32.5,16.6,28.7,0.89,30.9
99,20.7,9.6,15.7,0.86,6.2
100,8.9,7.5,7.8,0.72,1.0
101,47.0,21.8,38.0,0.74,77.8
102,33.8,30.0,16.2,0.73,32.8
103,13.7,6.2,8.2,0.91,1.4
104,31.4,17.0,23.1,0.78,24.7
105,8.8,6.4,7.3,0.9,0.8
106,40.5,30.0,23.1,0.74,56.2
107,38.0,30.0,23.7,0.83,54.1
108,15.0,7.9,15.0,0.98,3.6
109,14.4,8.5,5.9,0.85,1.4
110,33.2,29.3,16.1,0.75,31.5
111,40.8,21.3,20.5,0.95,35.6
112,26.1,18.6,12.2,0.86,11.8
113,9.9,4.8,10.4,0.7,1.0
114,23.4,21.6,7.6,0.88,7.7
115,92.6,77.4,70.5,1.2,515396.2
116,36.0,28.6,36.1,0.91,74.2
117,38.6,19.0,16.4,0.89,24.0
118,37.4,30.0,25.8,0.83,57.8
119,10.2,10.1,7.0,0.81,1.4
120,16.9,12.5,9.4,0.75,4.0
121,14.9,18.0,18.2,0.72,9.8
122,9.8,5.0,8.4,0.76,0.8
123,16.4,17.8,9.0,0.95,5.3
124,5.7,7.7,6.9,0.7,0.6
125,9.8,11.1,7.0,0.95,1.5
126,14.8,7.5,11.2,1.0,2.5
127,28.6,26.8,12.7,0.97,19.4
128,33.8,30.0,16.5,0.94,33.6
129,7.9,10.5,4.2,0.95,0.7
130,26.3,12.9,16.4,0.81,11.2
131,7.0,7.1,3.4,0.83,0.3
132,40.8,14.7,11.2,0.92,13.4
133,30.1,30.0,32.0,0.79,57.9
134,6.8,7.0,7.5,0.94,0.7
135,21.9,7.2,6.9,0.71,2.2
136,34.4,17.1,33.8,0.87,39.9
137,16.6,16.1,16.1,0.94,8.6
138,2.6,1.1,2.3,1.0,5.6
139,22.9,12.4,22.9,0.72,13.1
140,44.4,30.0,30.8,0.81,82.1
141,19.3,15.9,14.3,0.82,8.8
142,8.0,3.0,5.5,0.78,0.3
143,99.2,60.1,68.2,0.75,259209.4
144,38.3,30.0,16.8,0.86,38.6
145,40.7,17.0,24.3,0.88,33.6
146,34.6,12.2,15.3,0.79,12.9
147,33.1,30.0,25.0,0.96,49.7
148,41.2,30.0,22.5,0.97,55.6
149,27.9,23.4,9.0,0.87,11.7
150,24.8,20.1,15.1,0.81,15.1
151,41.2,30.0,29.6,0.75,73.2
152,5.5,5.1,3.4,0.92,0.2
153,76.8,71.0,63.5,0.81,238395.1
154,7.4,5.3,4.5,0.92,0.4
155,35.8,27.8,21.5,0.71,42.8
156,35.4,30.0,24.8,0.95,52.7
157,28.6,14.6,23.3,0.74,19.4
158,22.0,14.2,13.7,0.98,8.6
159,22.6,15.7,12.3,0.97,8.8
160,17.9,17.1,17.4,0.97,10.7
161,37.6,30.0,37.5,0.95,84.6
162,39.6,15.8,29.6,0.86,37.1
163,20.6,22.7,10.1,0.95,9.5
164,20.3,16.8,17.3,0.76,11.9
165,24.0,12.3,17.7,0.91,10.4
166,8.1,3.8,6.5,0.85,0.4
167,20.9,25.3,14.4,0.9,15.2
168,11.4,4.3,5.3,0.92,0.5
169,38.4,17.4,23.7,1.0,31.7
170,23.8,25.6,15.2,0.91,18.6
171,35.1,25.8,15.0,0.88,27.1
172,24.3,15.4,8.6,0.73,6.4
173,23.1,17.7,8.7,0.77,7.1
174,40.5,22.9,16.8,0.8,31.1
175,32.4,18.9,13.8,0.71,16.9
176,21.0,13.8,12.0,0.94,7.0
177,12.0,11.5,8.2,0.95,2.3
178,6.0,5.5,5.7,0.97,0.4
179,30.3,30.0,12.2,0.74,22.1
180,42.7,30.0,26.2,0.98,67.2
181,18.3,18.2,18.6,0.9,12.4
182,38.6,30.0,29.2,0.88,67.6
183,31.7,30.0,20.2,0.83,38.3
184,30.3,19.2,9.0,0.99,10.4
185,17.3,13.8,17.3,0.8,8.3
186,8.6,9.1,7.7,0.92,1.2
187,19.0,13.2,10.6,0.73,5.3
188,12.3,6.1,4.9,0.9,0.7
189,35.8,24.3,12.5,0.78,21.7
190,12.0,5.9,4.3,0.91,0.6
191,14.8,6.9,6.4,0.7,1.3
192,17.6,10.5,12.4,0.93,4.6
193,8.7,7.8,7.1,0.92,1.0
194,11.0,8.9,8.6,0.87,1.7
195,7.1,4.3,7.5,1.2,233.6
196,23.2,26.4,21.8,0.99,26.7
197,43.6,30.0,25.5,0.74,66.7
198,34.2,30.0,13.2,0.93,27.2
199,17.7,5.3,13.8,0.71,2.6
200,25.0,26.3,16.8,0.98,22.0
201,12.8,5.8,9.1,0.77,1.3
202,15.6,8.5,8.1,0.96,2.1
203,24.3,21.1,23.7,0.78,24.3
204,6.4,5.5,6.4,0.9,0.4
205,12.9,11.8,8.2,0.84,2.5
206,40.1,20.4,25.5,0.81,41.6
207,15.1,7.1,14.6,0.96,3.1
208,16.4,18.8,16.3,0.82,10.1
209,44.7,29.5,29.3,0.94,77.2
210,41.6,27.7,36.5,0.8,84.0
211,11.2,6.4,6.2,0.5,188.9
212,14.5,16.3,11.1,0.95,5.3
213,19.0,12.0,7.2,0.99,3.3
214,34.4,30.0,18.1,0.79,37.3
215,33.5,22.8,26.9,0.93,41.2
216,45.6,16.0,22.2,0.8,32.4
217,31.4,23.4,17.5,0.81,25.7
218,13.3,4.4,4.4,0.8,0.5
219,35.2,17.9,8.9,0.8,11.2
220,45.6,30.0,35.3,0.94,96.7
221,48.0,30.0,16.4,0.81,47.2
222,14.7,11.6,10.6,0.82,3.6
223,10.5,9.6,4.5,0.89,0.9
224,25.3,26.4,12.4,0.77,16.5
225,31.7,18.6,15.2,0.79,18.0
226,27.6,25.5,24.5,0.89,34.5
227,41.5,19.5,31.7,0.94,51.3
228,23.6,24.4,10.1,0.9,11.7
229,8.6,10.5,9.6,0.85,1.7
230,2.1,1.2,2.8,0.75,4.5
231,29.4,24.7,8.1,0.98,11.8
232,23.8,23.8,22.0,0.8,25.0
233,25.2,19.7,12.5,0.98,12.4
234,45.7,30.0,13.2,0.75,36.3
235,38.1,27.7,16.6,0.73,35.0
236,28.2,30.0,21.3,0.77,35.9
237,31.8,30.0,21.1,0.88,40.3
238,35.5,26.3,26.5,0.75,49.6
239,6.8,4.3,3.5,0.97,0.2
240,19.6,17.9,8.3,0.79,5.8
241,23.3,14.1,10.2,1.0,6.7
242,35.7,21.5,9.2,0.87,14.1
243,15.3,8.2,14.3,0.74,3.6
244,9.5,10.8,4.5,0.81,0.9
245,17.6,12.6,11.9,0.89,5.3
246,12.4,7.5,6.1,0.88,1.1
247,35.8,30.0,18.7,0.79,40.1
248,26.0,30.0,27.7,0.98,43.3
249,8.5,8.3,3.5,0.74,0.5
250,13.4,11.3,8.6,0.88,2.6
251,13.5,15.9,16.2,0.74,7.0
252,17.5,16.3,11.6,0.81,6.6
253,32.1,20.5,13.7,0.93,18.1
254,36.0,20.8,12.9,0.83,19.3
255,19.0,10.0,12.7,0.94,4.8
256,15.9,11.9,3.7,0.77,1.4
257,33.7,21.6,20.4,0.86,29.7
258,37.3,15.5,11.2,0.74,12.9
259,23.7,11.9,27.8,0.99,15.7
260,32.0,18.5,12.9,0.76,15.3
261,41.5,25.6,15.2,0.83,32.3
262,22.2,20.2,10.9,0.72,9.8
263,12.4,6.8,14.8,0.76,2.5
264,29.5,23.2,28.6,0.84,39.1
265,32.2,30.0,16.8,0.8,32.5
266,22.2,10.8,23.6,0.72,11.3
267,14.1,10.8,4.7,0.74,1.4
268,27.2,12.5,27.3,0.76,18.5
269,39.0,30.0,17.8,0.88,41.7
270,16.6,9.1,12.5,0.93,3.8
271,16.8,14.0,10.8,0.84,5.1
272,18.7,15.8,6.7,0.8,4.0
273,3.3,1.3,2.1,0.81,6.2
274,19.6,16.2,24.1,0.88,15.3
275,35.1,12.2,11.8,0.71,10.1
276,27.9,30.0,23.7,0.99,39.6
277,3.6,1.7,2.4,0.77,9.6
278,6.4,7.6,6.7,0.84,0.7
279,13.7,5.9,3.5,0.9,0.6
280,12.4,7.7,6.0,0.99,1.1
281,23.8,17.9,14.7,0.96,12.6
282,8.1,6.4,8.5,0.76,0.9
283,42.1,30.0,10.5,0.82,26.5
284,20.4,16.5,10.0,0.91,6.7
285,36.2,30.0,11.4,0.84,24.9
286,8.0,4.4,4.9,0.84,0.3
287,43.0,30.0,21.3,0.93,54.9
288,31.6,26.4,10.9,0.91,18.2
289,15.5,13.0,7.7,0.97,3.1
290,22.8,24.5,11.1,0.77,12.4
291,5.0,3.0,2.4,0.72,0.1
292,29.6,30.0,12.5,0.86,22.3
293,33.0,30.0,16.0,0.99,31.6
294,14.6,6.5,10.8,0.78,2.0
295,26.7,13.0,17.6,0.9,12.2
296,9.3,8.1,3.8,0.83,0.6
297,45.0,24.0,33.9,0.8,73.2
298,8.3,3.8,5.1,0.79,0.3
299,12.9,11.7,7.1,0.75,2.1
300,23.6,24.7,18.1,0.86,21.1
301,13.3,15.8,12.6,0.71,5.3
302,38.2,16.7,32.0,0.86,40.7
303,12.4,15.2,14.8,0.92,5.6
304,34.7,19.7,28.6,0.92,39.0
305,31.0,23.8,19.6,1.0,29.0
306,18.2,11.0,13.4,0.72,5.4
307,27.3,21.6,18.4,0.78,21.7
308,7.4,7.0,6.5,0.83,0.7
309,39.8,30.0,37.8,0.96,90.2
310,26.0,18.1,17.5,0.93,16.5
311,8.6,5.7,4.4,0.85,0.4
312,14.5,7.4,11.1,0.73,2.4
313,33.8,23.0,33.0,0.78,51.1
314,23.2,18.4,17.3,0.7,14.7
315,28.2,30.0,32.1,0.93,54.3
316,81.8,43.6,66.7,0.96,194113.5
317,15.3,10.6,4.8,0.83,1.6
318,9.8,6.0,6.5,0.72,0.8
319,26.6,25.3,12.4,0.77,16.7
320,32.8,10.8,17.4,0.99,12.3
321,8.0,8.3,8.3,0.95,1.1
322,11.6,6.6,15.3,0.79,2.4
323,9.4,9.0,11.0,0.8,1.9
324,70.8,68.1,76.4,0.73,228568.0
325,27.9,9.1,14.4,0.75,7.3
326,14.8,11.7,9.0,0.84,3.1
327,10.5,12.8,14.0,0.77,3.8
328,23.2,29.1,29.1,0.89,39.3
329,39.8,28.4,12.4,0.87,28.0
330,27.7,18.8,23.0,0.97,24.0
331,5.9,3.3,5.7,0.95,0.2
332,24.2,14.4,7.0,0.88,4.9
333,38.1,29.6,21.1,0.9,47.8
334,24.8,17.8,14.1,0.75,12.5
335,24.2,18.2,24.6,0.87,21.7
336,8.8,6.7,4.0,0.9,0.5
337,46.4,27.0,12.6,0.82,31.6
338,30.9,23.7,9.0,0.91,13.3
339,38.2,26.2,27.0,0.98,54.1
340,44.0,28.7,29.2,0.86,73.7
341,20.3,7.5,16.1,0.79,4.9
342,11.4,6.0,11.2,0.8,1.5
343,12.4,8.2,5.2,0.74,1.1
344,20.8,12.6,18.8,0.8,9.8
345,25.7,18.7,17.2,0.94,16.5
346,24.0,17.1,24.7,0.85,20.3
347,22.0,12.3,12.1,0.99,6.6
348,44.7,22.4,32.1,0.89,64.3
349,9.6,10.0,11.1,0.71,2.1
350,23.8,30.0,12.8,0.98,18.4
351,10.2,4.1,7.8,0.93,0.6
352,18.6,13.8,17.1,0.85,8.7
353,29.0,17.2,15.3,0.9,15.2
354,5.4,5.7,2.3,0.86,0.1
355,26.4,19.6,26.9,0.75,27.8
356,47.8,26.3,20.7,0.8,51.9
357,8.9,3.7,5.1,0.82,0.3
358,28.9,25.0,25.5,0.74,36.9
359,21.6,10.0,8.5,0.96,3.7
360,39.6,29.1,28.6,0.95,65.9
361,11.9,6.5,10.8,0.87,1.6
362,50.0,19.7,40.0,0.96,78.9
363,32.2,11.6,7.3,0.93,5.5
364,33.5,29.0,19.8,0.77,38.3
365,7.4,6.1,2.0,0.85,0.2
366,40.3,30.0,17.2,1.2,21210.7
367,29.0,30.0,14.3,0.8,24.9
368,22.7,16.5,9.5,0.88,7.1
369,31.8,16.3,20.9,0.84,21.8
370,40.2,16.2,22.4,0.97,29.1
371,33.5,20.3,30.4,0.71,41.4
372,6.5,3.0,5.8,0.74,0.2
373,7.2,6.1,6.8,0.8,0.6
374,75.1,76.9,71.8,0.74,260820.3
375,50.0,20.8,21.5,0.9,44.7
376,15.1,16.6,15.7,0.97,7.9
377,25.2,13.9,32.4,0.81,22.7
378,31.2,15.0,18.3,0.78,17.1
379,22.9,10.0,11.9,0.94,5.4
380,2.7,1.5,2.6,0.85,7.6
381,17.4,16.5,11.3,0.71,6.5
382,31.7,30.0,28.4,0.7,54.0
383,30.6,30.0,26.7,0.88,49.0
384,81.6,43.1,50.7,0.99,150047.8
385,25.4,11.4,19.3,0.96,11.1
386,36.5,17.1,22.8,0.87,28.5
387,26.5,9.4,22.7,0.98,11.3
388,18.2,8.1,19.5,0.99,5.7
389,37.0,28.0,14.9,0.96,30.8
390,31.4,19.4,24.5,0.88,29.8
391,27.6,23.4,19.6,0.79,25.3
392,32.7,16.8,13.8,1.2,7732.8
393,35.9,15.3,23.8,0.88,26.1
394,41.4,24.2,36.5,0.8,73.0
395,42.7,27.2,13.2,0.85,30.7
396,33.8,30.0,13.9,0.99,28.1
397,14.9,18.2,11.4,0.95,6.2
398,12.1,9.0,11.9,0.7,2.6
399,31.9,19.9,12.0,0.87,15.2
400,12.3,13.3,10.5,0.72,3.4
401,50.0,30.0,40.0,0.93,120.0
402,17.6,10.8,20.0,0.88,7.5
403,17.7,18.6,16.3,0.79,10.7
404,20.5,6.1,13.0,0.91,3.2
405,27.1,15.5,9.9,0.79,8.3
406,11.1,5.5,7.3,0.8,0.9
407,16.7,7.8,10.5,0.84,2.7
408,22.9,23.9,11.9,0.83,13.1
409,9.3,8.9,7.7,0.83,1.3
410,33.8,15.9,25.4,0.73,27.3
411,39.2,30.0,22.8,0.86,53.6
412,85.5,72.1,68.7,0.81,291582.9
413,34.9,30.0,24.7,0.83,51.7
414,9.2,10.6,4.0,0.99,0.8
415,12.0,6.6,5.5,0.9,0.9
416,29.5,14.5,14.6,0.7,12.5
417,20.2,7.7,17.3,0.74,5.4
418,29.9,23.3,12.7,0.91,17.7
419,5.7,3.7,2.0,0.74,0.1
420,11.0,8.2,5.6,0.98,1.0
421,20.3,20.4,24.5,0.82,20.3
422,16.4,10.0,18.1,0.7,5.9
423,11.1,9.8,5.4,0.71,1.2
424,13.2,13.5,5.1,0.92,1.8
425,16.3,19.6,20.5,0.78,13.1
426,50.0,30.0,28.5,0.79,85.5
427,50.0,21.5,13.7,0.73,29.5
428,32.1,24.3,32.6,0.95,50.8
429,36.1,30.0,13.8,0.82,29.9
430,8.6,10.6,6.9,0.72,1.3
431,32.6,19.0,27.0,0.84,33.4
432,47.4,30.0,17.1,0.96,48.5
433,44.7,30.0,14.3,0.81,38.4
434,11.7,6.4,9.1,0.96,1.4
435,6.7,5.0,4.6,0.93,0.3
436,29.1,15.4,11.6,0.77,10.4
437,20.5,15.3,14.4,0.71,9.0
438,32.7,18.8,34.6,1.2,21696.1
439,37.8,30.0,16.5,0.8,37.6
440,2.2,1.7,2.0,0.96,6.1
441,33.5,30.0,19.2,0.77,38.7
442,36.8,30.0,30.6,0.75,67.5
443,36.6,30.0,17.7,0.93,38.8
444,11.2,13.6,10.1,0.95,3.1
445,47.7,30.0,16.8,0.96,48.0
446,12.6,7.0,11.6,0.95,2.1
447,33.2,25.0,25.5,0.96,42.3
448,69.7,58.3,80.4,0.85,236045.2
449,32.2,30.0,14.9,0.84,28.8
450,14.1,19.8,16.0,0.96,8.9
451,6.5,7.5,4.0,0.85,0.4
452,21.0,9.7,15.1,0.79,6.1
453,1.2,1.2,1.0,0.5,0.6
454,19.9,11.0,11.1,0.77,4.9
455,19.5,10.5,8.1,0.72,3.3
456,19.6,19.1,17.9,0.85,13.4
457,26.2,30.0,27.9,0.79,43.9
458,11.1,7.7,8.0,0.96,1.4
459,45.4,30.0,36.7,0.74,100.0
460,45.8,30.0,30.2,0.81,82.9
461,50.0,30.0,19.7,0.75,59.1
462,8.6,10.9,4.1,0.5,163.3
463,11.6,8.5,14.3,0.89,2.8
464,26.4,14.5,18.3,0.98,14.0
465,1.4,2.4,1.2,0.71,2.4
466,2.8,1.3,2.9,0.93,8.3
467,34.4,14.1,9.7,0.96,9.4
468,25.7,26.1,17.4,0.83,23.3
469,10.5,10.6,11.0,0.87,2.4
470,22.4,19.1,20.3,0.85,17.3
471,27.6,26.8,15.1,0.74,22.4
472,6.5,6.8,5.5,0.84,0.5
473,77.1,46.4,78.0,0.84,199234.8
474,23.0,7.2,14.3,0.99,4.7
475,35.4,12.3,15.0,0.77,13.0
476,23.2,20.5,14.6,0.86,13.9
477,34.6,17.3,15.6,0.74,18.7
478,27.9,24.0,18.2,0.73,24.3
479,8.5,5.1,7.5,0.72,0.7
480,30.8,14.4,22.7,0.77,20.2
481,3.3,1.3,2.0,0.97,7.1
482,12.7,4.6,10.8,0.93,1.3
483,20.0,11.9,14.8,0.95,7.0
484,8.9,7.2,6.0,0.76,0.8
485,21.4,22.3,27.2,0.74,26.0
486,34.4,18.6,25.9,0.98,33.3
487,21.1,9.4,9.9,0.96,3.9
488,44.1,30.0,29.4,0.91,77.7
489,38.3,24.8,31.9,0.72,60.6
490,8.4,5.4,7.4,0.76,0.7
491,23.2,12.8,9.9,0.5,1249.5
492,23.3,9.3,7.4,0.75,3.2
493,10.6,5.9,4.0,0.74,0.5
494,22.8,10.7,16.3,0.94,8.0
495,16.9,11.1,8.5,0.71,3.2
496,25.7,13.4,21.6,0.92,14.8
497,33.3,29.9,15.8,0.95,31.3
498,16.8,8.3,9.0,0.82,2.5
499,5.2,6.5,2.6,0.84,0.2
500,27.5,26.3,26.2,0.77,38.0
501,33.5,23.5,28.4,0.77,44.7
502,36.4,26.5,17.9,0.9,34.6
503,42.4,30.0,18.9,0.91,48.1
504,29.4,16.6,23.0,0.93,22.5
505,43.1,30.0,13.9,0.96,36.1
506,18.4,18.0,5.2,0.97,3.5
507,8.8,9.2,6.7,0.85,1.1
508,25.9,11.6,17.9,0.97,10.8
509,25.0,26.7,32.3,0.75,43.1
510,23.7,29.1,17.1,0.94,23.6
511,8.1,7.1,6.8,0.77,0.8
512,5.2,6.9,2.5,0.86,0.2
513,11.3,9.3,6.9,0.93,1.4
514,36.2,24.5,13.6,0.8,24.2
515,69.3,65.6,59.4,0.75,172148.7
516,18.2,15.3,10.7,0.76,5.9
517,41.8,28.0,33.4,0.77,78.2
518,42.9,30.0,28.1,0.74,72.5
519,9.2,10.6,5.1,0.86,1.0
520,9.6,4.3,7.7,0.95,0.6
521,17.3,13.8,7.2,0.87,3.4
522,10.8,6.9,11.3,0.83,1.7
523,39.5,28.5,13.6,0.96,30.7
524,9.1,4.5,6.5,0.95,0.5
525,15.2,12.5,12.1,1.2,2345.0
526,38.9,24.0,22.8,0.96,42.5
527,82.1,54.3,67.9,0.83,213555.0
528,18.9,7.8,18.2,0.94,5.4
529,36.8,30.0,14.8,0.5,6944.2
530,94.7,63.7,55.1,0.97,274051.2
531,31.4,24.0,38.9,0.99,58.7
532,22.7,12.3,14.0,0.9,7.8
533,2.0,2.8,1.3,0.89,5.5
534,25.3,24.0,17.5,0.98,21.3
535,5.5,3.0,2.6,0.91,0.1
536,28.0,30.0,21.9,0.97,36.8
537,36.5,23.8,33.0,0.73,57.4
538,6.0,6.2,5.4,0.96,0.4
539,14.9,8.7,12.7,0.78,3.3
540,17.2,17.7,12.6,0.72,7.7
541,13.5,5.7,7.9,1.2,620.1
542,5.6,4.9,6.7,0.79,0.4
543,30.5,23.4,34.3,0.94,49.0
544,14.8,7.6,18.3,0.8,4.1
545,45.5,21.2,14.9,0.94,28.7
546,15.4,14.0,15.8,0.98,6.8
547,99.6,50.6,76.9,0.84,276716.1
548,8.6,5.1,5.9,0.94,0.5
549,29.9,29.8,24.9,0.75,44.3
550,17.3,7.9,10.3,0.86,2.8
551,32.4,22.6,28.6,0.98,41.8
552,43.9,30.0,14.2,0.86,37.3
553,11.7,8.0,8.8,0.89,1.6
554,32.1,16.9,23.0,0.74,25.0
555,8.7,3.0,4.5,0.8,0.2
556,29.9,30.0,16.0,0.96,28.7
557,14.8,14.6,10.8,0.86,4.7
558,39.2,30.0,30.9,0.97,72.6
559,19.2,13.0,12.2,0.94,6.1
560,36.9,24.1,13.5,0.89,24.0
561,9.1,6.0,6.9,0.85,0.8
562,30.2,30.0,34.7,0.75,62.9
563,15.9,13.1,8.6,0.73,3.6
564,29.6,15.4,16.1,0.88,14.6
565,14.8,9.7,12.5,0.76,3.6
566,45.8,30.0,28.1,0.93,77.1
567,30.8,11.9,29.6,0.94,21.8
568,9.0,6.2,2.7,0.84,0.3
569,13.5,11.4,4.2,0.79,1.3
570,26.2,18.0,28.9,0.7,27.2
571,17.6,9.3,9.6,0.97,3.1
572,36.1,19.4,26.8,0.8,37.5
573,7.6,5.7,5.5,0.92,0.5
574,10.5,8.3,5.6,0.99,1.0
575,13.8,16.3,4.5,0.91,2.0
576,3.6,2.7,1.2,1.2,11.9
577,35.1,30.0,17.9,0.8,37.6
578,36.4,18.9,11.6,0.89,16.0
579,48.9,23.7,31.0,0.78,71.7
580,23.5,26.3,17.2,0.94,21.2
581,35.9,28.3,12.2,0.97,24.9
582,24.7,13.9,28.3,0.98,19.5
583,26.1,12.9,33.0,0.77,22.3
584,27.4,30.0,19.2,0.93,31.6
585,41.2,23.8,17.2,0.78,33.7
586,6.4,4.2,8.0,0.77,0.4
587,22.1,19.5,7.6,0.81,6.6
588,42.7,30.0,25.4,0.87,65.1
589,39.8,30.0,33.4,1.0,79.9
590,30.9,27.4,15.5,0.8,26.2
591,67.1,59.7,53.3,0.86,156077.9
592,28.2,16.4,16.3,0.81,15.1
593,63.6,50.5,85.0,0.87,201885.7
594,23.6,17.4,12.4,0.97,10.1
595,16.2,12.2,14.6,0.89,5.8
596,13.4,14.9,5.5,0.85,2.2
597,23.2,12.6,6.7,0.87,3.9
598,37.0,21.1,26.7,0.77,41.6
599,22.1,14.1,14.0,1.0,8.7
600,17.7,18.0,8.0,0.82,5.1
601,17.1,5.8,10.4,0.93,2.1
602,28.6,23.2,23.2,0.78,30.8
603,18.5,15.5,8.2,0.82,4.7
604,8.2,3.8,2.5,0.9,0.2
605,7.5,3.4,5.3,1.0,0.3
606,34.2,30.0,25.5,0.78,52.2
607,17.2,13.2,8.1,0.73,3.7
608,69.6,78.0,62.2,0.88,252578.2
609,30.7,23.6,17.3,0.77,25.1
610,27.8,23.9,32.6,0.98,43.3
611,25.6,15.2,10.7,0.9,8.3
612,1.8,2.6,2.6,0.98,10.1
613,11.2,9.1,7.9,0.82,1.6
614,17.1,13.9,6.2,0.95,3.0
615,27.2,11.3,9.2,0.88,5.6
616,18.7,21.4,16.3,0.83,13.0
617,2.5,1.7,1.2,0.92,4.0
618,9.9,6.4,7.8,0.77,1.0
619,42.9,30.0,34.3,0.85,88.3
620,27.6,20.6,18.2,0.99,20.6
621,36.1,15.7,8.6,0.74,9.7
622,15.3,18.1,19.1,0.99,10.6
623,46.0,23.0,33.9,0.71,71.8
624,24.6,9.8,9.0,0.71,4.3
625,7.6,3.3,4.6,0.91,0.2
626,17.4,6.4,5.0,1.2,567.9
627,23.0,18.8,19.9,1.0,17.2
628,32.4,16.6,14.5,0.88,15.6
629,28.5,14.9,20.2,0.76,17.2
630,28.5,19.6,11.3,0.76,12.6
631,21.8,9.4,5.9,0.72,2.4
632,43.7,30.0,25.0,0.79,65.6
